media,std,max,min,rms,grupo
0.14599119642437444,0.0053882604084711004,0.153468817697355,0.131733964805662,0.1460905978619082,0
0.16065206984117814,0.007807728993182724,0.180886504566078,0.147774566101339,0.16084168668689644,0
0.18590915976867536,0.00663768879361599,0.194172469980101,0.15765289147037,0.18602761783782465,0
0.1740276406705359,0.011940214665135425,0.187256361154035,0.154074905318068,0.17443677491745443,0
0.1552407797663739,0.006007298564968867,0.163855002009822,0.142760368004442,0.15535696746049235,0
0.23194346647375078,0.012352048348959851,0.248416710085951,0.199354892969427,0.23227213508786407,0
0.26002214285398945,0.008601028601280564,0.277351920972117,0.248416710085951,0.26016435664283555,0
0.2624037692686168,0.007117229421713567,0.272872153859968,0.248023616695773,0.2625002725351325,0
0.23133442268748045,0.011531927464891678,0.259356899466082,0.204404980428569,0.2316216753052386,0
0.19530084699138273,0.012340304968421006,0.219238081927386,0.177898219805273,0.19569032669568806,0
0.1772461885187324,0.00499482764914852,0.18528541745131,0.165289542320047,0.17731655209726674,0
0.14922740441581225,0.009666290889726524,0.172567835567968,0.13717441113973,0.14954014647660735,0
0.2097071247439559,0.023784472344815347,0.254719502640304,0.181128917770442,0.21105160338907256,0
0.2860389900550996,0.021742382761225386,0.309696516971865,0.247338875244822,0.28686414038683367,1
0.30254719181654055,0.007760639798394459,0.32089667741953,0.291006646204,0.3026467095577862,1
0.25218579297375604,0.01050506520328933,0.265452932558677,0.228894417530423,0.2524044979249132,0
0.2109345988626357,0.013720484473492712,0.237488766597023,0.185520001574574,0.21138036023133364,0
0.18062668262367534,0.003301866443842152,0.18925682965176,0.173440691188425,0.18065685925988778,0
0.17096764259902003,0.007400848749233003,0.181630073156874,0.155872340948333,0.17112775163039826,0
0.2173923892743018,0.009926712426436153,0.233928889885812,0.202839366791445,0.21761891125080723,0
0.23196714382141226,0.009206440000976895,0.24591799486605,0.214313218044487,0.23214976706892337,0
0.22753755507690201,0.006728117324022273,0.238410538005999,0.214313218044487,0.22763700607128892,0
0.24117890904451605,0.006020145236467935,0.251543252799588,0.230101896016934,0.2412540327467525,0
0.257917733245817,0.009555851562972568,0.272735218984545,0.237378600822011,0.2580946946795962,0
0.23461524651564794,0.010608194996580179,0.26072083835737,0.215275834302493,0.23485495033889262,0
0.2133827488237406,0.013950525813254282,0.225894026155731,0.180610897757597,0.21383829092574097,0
